user_id,user_name,age,sex,category,login_date,region_id,channel_id
USER0001,金华翰,22,男,新用户,2016-08-27,1101,QD1002
USER0002,吕元青,30,男,新用户,2016-06-15,1101,QD1013
USER0003,杨英韶,18,男,VIP用户,2016-04-05,1201,QD1014
USER0004,夏正奇,18,男,VIP用户,2016-04-13,1201,QD1010
USER0005,范乐正,18,男,VIP用户,2015-12-19,1306,QD1008
USER0006,袁力强,18,男,VIP用户,2016-04-27,1309,QD1007
USER0007,杜高峰,18,男,VIP用户,2016-02-26,1310,QD1004
USER0008,龙飞星,18,男,VIP用户,2016-06-27,1307,QD1003
USER0009,石锐智,18,男,VIP用户,2015-11-01,1311,QD1002
USER0010,马奇迈,18,男,新用户,2016-02-24,1408,QD1002
USER0011,徐乐心,18,男,新用户,2015-12-18,1403,QD1009
USER0012,郭向阳,18,男,新用户,2016-02-20,1404,QD1019
USER0013,邵正真,19,男,新用户,2016-04-03,1401,QD1011
USER0014,赖涵煦,19,男,新用户,2016-06-13,1402,QD1020
USER0015,吕子石,19,男,新用户,2016-06-20,1405,QD1013
USER0016,罗凯风,19,男,新用户,2015-12-06,1508,QD1012
USER0017,漕鸿信,19,男,新用户,2016-03-13,2110,QD1001
USER0018,尹高歌,19,男,新用户,2016-05-04,2111,QD1003
USER0019,胡学博,19,男,新用户,2016-06-12,2112,QD1015
USER0020,汪永望,19,男,新用户,2015-11-17,2113,QD1012
USER0021,顾宏盛,19,男,新用户,2016-01-26,2114,QD1006
USER0022,白文翰,19,男,新用户,2016-01-23,2201,QD1011
USER0023,曹雨伯,19,男,新用户,2016-01-25,2305,QD1003
USER0024,贺兴庆,20,男,新用户,2016-05-20,2306,QD1013
USER0025,韩飞章,20,男,新用户,2015-10-27,2307,QD1005
USER0026,钟奇逸,20,男,新用户,2015-11-29,2308,QD1013
USER0027,彭嘉庆,20,男,新用户,2015-11-09,2309,QD1018
USER0028,吕俊能,20,男,VIP用户,2016-05-11,2310,QD1003
USER0029,姚祺福,20,男,VIP用户,2016-03-15,2311,QD1016
USER0030,吴高逸,20,男,VIP用户,2016-02-05,2312,QD1015
USER0031,叶志国,20,男,VIP用户,2016-03-02,3212,QD1012
USER0032,高永康,20,男,VIP用户,2015-10-20,3213,QD1021
USER0033,袁睿诚,20,男,VIP用户,2016-03-16,3208,QD1013
USER0034,蔡高阳,20,男,VIP用户,2016-06-29,3209,QD1010
USER0035,韩星阑,20,男,VIP用户,2016-03-13,3210,QD1017
USER0036,许乐人,20,男,VIP用户,2016-05-20,3211,QD1008
USER0037,韩新知,20,男,VIP用户,2015-11-25,3210,QD1010
USER0038,金高峯,20,男,VIP用户,2016-03-02,3301,QD1015
USER0039,侯和畅,20,男,VIP用户,2015-10-07,3403,QD1004
USER0040,叶德运,20,男,VIP用户,2016-06-01,3404,QD1021
USER0041,李高洁,20,男,VIP用户,2016-01-13,3405,QD1022
USER0042,夏正初,20,男,VIP用户,2016-05-02,3406,QD1009
USER0043,罗欣可,20,男,VIP用户,2016-05-06,3407,QD1016
USER0044,龚德宇,21,男,VIP用户,2016-06-05,3408,QD1010
USER0045,姚泰河,21,男,VIP用户,2015-11-05,3410,QD1013
USER0046,梁宏大,21,男,VIP用户,2015-10-09,3411,QD1014
USER0047,尹勇捷,21,男,VIP用户,2016-02-18,3412,QD1006
USER0048,龙冠玉,21,男,VIP用户,2016-05-09,3507,QD1010
USER0049,廖开诚,21,男,新用户,2016-01-17,3508,QD1005
USER0050,周勇军,21,男,新用户,2015-12-11,3509,QD1005
USER0051,蒋嘉言,21,男,新用户,2016-06-11,3601,QD1010
USER0052,汪阳伯,21,男,新用户,2016-03-02,3602,QD1021
USER0053,叶冠玉,21,男,新用户,2016-02-18,3603,QD1001
USER0054,易睿好,21,男,新用户,2015-11-28,3604,QD1012
USER0055,潘华辉,21,男,新用户,2015-11-23,3708,QD1021
USER0056,李成礼,21,男,新用户,2016-02-21,3709,QD1019
USER0057,邱安志,21,男,新用户,2015-10-17,3710,QD1015
USER0058,常宜年,21,男,新用户,2015-12-07,3711,QD1008
USER0059,武宏博,22,男,新用户,2016-02-13,3712,QD1020
